symbol,company,sector,peer_group,financial_subtype,history_quarters,expected_quarters,missing_quarters,missing_quarter_periods,missing_metrics,eps_coverage,roe_coverage,fcf_coverage,valuation_coverage,price_coverage,pit_actual_date_coverage,pit_proxy_coverage,financial_completeness,current_state_usability,current_state,state_detail,data_quality,reason_codes,source_history_note,flags,period_end,as_of_date,announcement_date,available_date,retrieval_date,availability_method,source,source_version,source_hash
1216,統一,GENERAL,CONSUMER_STAPLES,,42,42,0,,,0.9285714285714286,0.9047619047619048,0.9285714285714286,1.0,1.0,0.0,1.0,0.8,True,DETERIORATING,DETERIORATING,PARTIAL,PROFITABILITY_DURABLE | GROWTH_DURABLE | CASH_CONVERSION_SUPPORTED | BALANCE_SHEET_RESILIENT_NOT_ESTABLISHED | INTEREST_COVERAGE_NOT_ESTABLISHED | DETERIORATION_CORROBORATED | HISTORICAL_VALUATION_LOW | SIMPLIFIED_DCF_AVAILABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:11:33.835455+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,8437ec5eb9a769c809274de53a1d3800e88ad611c262a459f4226575cce847ee
1303,南亞,CYCLICAL,PETROCHEMICAL,,42,42,0,,,0.9285714285714286,0.9047619047619048,0.9285714285714286,1.0,1.0,0.0,1.0,0.8,False,UNKNOWN,UNKNOWN,PARTIAL,PROFITABILITY_DURABLE_NOT_ESTABLISHED | GROWTH_DURABLE_NOT_ESTABLISHED | CASH_CONVERSION_SUPPORTED | BALANCE_SHEET_RESILIENT_NOT_ESTABLISHED | INTEREST_COVERAGE_NOT_ESTABLISHED | SECTOR_LOGIC_CYCLICAL | MIXED_FUNDAMENTAL_DIRECTION | VALUATION_SECTOR_CYCLICAL_NORMALIZED_EPS | CYCLICAL_LOW_PE_TRAP_RISK | SIMPLIFIED_DCF_NOT_APPLICABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED | NORMALIZED_EARNINGS_REQUIRED,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:11:33.807165+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,92ec4e155e59319576965cead05b991f8f9cd272e81ee64cbdf82f92cf639983
2059,川湖,GENERAL,INDUSTRIAL_COMPONENTS,,42,42,0,,,0.9285714285714286,0.9047619047619048,0.8333333333333334,1.0,1.0,0.0,1.0,0.8,True,STABLE,MATURE_GROWTH,PARTIAL,PROFITABILITY_DURABLE | GROWTH_DURABLE | CASH_CONVERSION_SUPPORTED | BALANCE_SHEET_RESILIENT | INTEREST_COVERAGE_SUPPORTED | SUSTAINED_GROWTH_EIGHT_PERIODS | HISTORICAL_VALUATION_HIGH | SIMPLIFIED_DCF_AVAILABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED | EARNINGS_QUALITY_REVIEW,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:11:34.370505+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,23cd4c779c538c9386456e6bd9d29b06c861124d0d55e355fb1887cac400111c
2301,光寶科,GENERAL,POWER_ELECTRONICS,,42,42,0,,,0.9285714285714286,0.9047619047619048,0.9285714285714286,1.0,1.0,0.0,1.0,0.8,True,STABLE,CONFIRMED_GROWTH,PARTIAL,PROFITABILITY_DURABLE | GROWTH_DURABLE | CASH_CONVERSION_SUPPORTED | BALANCE_SHEET_RESILIENT | INTEREST_COVERAGE_SUPPORTED | GROWTH_CONFIRMED_THREE_PERIODS | HISTORICAL_VALUATION_HIGH | SIMPLIFIED_DCF_NOT_APPLICABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED | EARNINGS_QUALITY_REVIEW,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:11:34.044531+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,ecf9a01cf3f08576cc3a0e24c2966d908faba233e6d5c5438882e7b812cc03c9
2303,聯電,GENERAL,SEMICONDUCTOR_FOUNDRY,,42,42,0,,,0.9285714285714286,0.8571428571428571,0.9285714285714286,1.0,1.0,0.0,1.0,0.8,False,UNKNOWN,UNKNOWN,PARTIAL,PROFITABILITY_DURABLE | GROWTH_DURABLE_NOT_ESTABLISHED | CASH_CONVERSION_SUPPORTED | BALANCE_SHEET_RESILIENT | INTEREST_COVERAGE_SUPPORTED | MIXED_FUNDAMENTAL_DIRECTION | HISTORICAL_VALUATION_HIGH | SIMPLIFIED_DCF_AVAILABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:11:34.199808+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,2500a52a78b10b099ff158fc38e3256ae1ee1c1f819ef4c0d845ba4022d446b0
2308,台達電,GENERAL,POWER_ELECTRONICS,,42,42,0,,,0.9285714285714286,0.8571428571428571,0.9285714285714286,1.0,1.0,0.0,1.0,0.8,True,IMPROVING,TURNING_UP,PARTIAL,PROFITABILITY_DURABLE | GROWTH_DURABLE | CASH_CONVERSION_SUPPORTED | BALANCE_SHEET_RESILIENT | INTEREST_COVERAGE_SUPPORTED | EARLY_REVENUE_RECOVERY | RECOVERY_CORROBORATED | HISTORICAL_VALUATION_HIGH | SIMPLIFIED_DCF_AVAILABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:11:33.706866+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,2d0d5cb477984c82005053b74a82fdccb3cc2a476c55bcd4b6fffbd5199f3665
2317,鴻海,GENERAL,ELECTRONICS_MANUFACTURING,,42,42,0,,,0.9285714285714286,0.9047619047619048,0.9285714285714286,1.0,1.0,0.0,1.0,0.8,True,IMPROVING,TURNING_UP,PARTIAL,PROFITABILITY_DURABLE | GROWTH_DURABLE | CASH_CONVERSION_SUPPORTED_NOT_ESTABLISHED | BALANCE_SHEET_RESILIENT_NOT_ESTABLISHED | INTEREST_COVERAGE_NOT_ESTABLISHED | EARLY_REVENUE_RECOVERY | RECOVERY_CORROBORATED | HISTORICAL_VALUATION_HIGH | SIMPLIFIED_DCF_NOT_APPLICABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED | EARNINGS_QUALITY_REVIEW,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:11:33.957752+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,28ba7dceaef2059395ca17dc7b427ef97c1cc45f8194f0887dc191c7ecc1e6b6
2327,國巨*,GENERAL,PASSIVE_COMPONENTS,,42,42,0,,,0.9285714285714286,0.9047619047619048,0.8333333333333334,1.0,1.0,0.0,1.0,0.8,True,IMPROVING,TURNING_UP,PARTIAL,PROFITABILITY_DURABLE | GROWTH_DURABLE_NOT_ESTABLISHED | CASH_CONVERSION_SUPPORTED | BALANCE_SHEET_RESILIENT | INTEREST_COVERAGE_SUPPORTED | EARLY_REVENUE_RECOVERY | RECOVERY_CORROBORATED | HISTORICAL_VALUATION_HIGH | SIMPLIFIED_DCF_AVAILABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:11:33.921488+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,0c33a7c3df37893c3855444026fb65309b58cc6473cb1117360aa1f9cded4409
2330,台積電,GENERAL,SEMICONDUCTOR_FOUNDRY,,42,42,0,,,0.9285714285714286,0.9047619047619048,0.9285714285714286,1.0,1.0,0.0,1.0,0.8,True,STABLE,MATURE_GROWTH,PARTIAL,PROFITABILITY_DURABLE | GROWTH_DURABLE | CASH_CONVERSION_SUPPORTED | BALANCE_SHEET_RESILIENT | INTEREST_COVERAGE_SUPPORTED | SUSTAINED_GROWTH_EIGHT_PERIODS | HISTORICAL_VALUATION_HIGH | SIMPLIFIED_DCF_AVAILABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:12:54.313502+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,0ca9d8cec5542b193a6f0a910736526b49439afc45ae7076eb080f64506262af
2344,華邦電,CYCLICAL,MEMORY,,42,42,0,,,0.9285714285714286,0.9047619047619048,0.8333333333333334,1.0,1.0,0.0,1.0,0.8,True,IMPROVING,TURNING_UP,PARTIAL,FCF_PERSISTENCE_WEAK | SECTOR_LOGIC_CYCLICAL | EARLY_REVENUE_RECOVERY | RECOVERY_CORROBORATED | VALUATION_SECTOR_CYCLICAL_NORMALIZED_EPS | CYCLICAL_LOW_PE_TRAP_RISK | SIMPLIFIED_DCF_AVAILABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED | NORMALIZED_EARNINGS_REQUIRED,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:12:54.617607+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,4a7a1a679d6171f546bf866dddbe071934629192b3f16f7101eb77fa8ead88b1
