symbol,company,industry,peer_group,sector_logic,quality,fundamental_state,valuation,pe,pb,roe,roic,revenue_yoy,peer_pe_percentile,peer_pb_percentile,peer_roe_percentile,peer_roic_percentile,peer_revenue_yoy_percentile,peer_context_note
1216,統一,食品工業,CONSUMER_STAPLES,GENERAL,WEAK,DETERIORATING,LOW,18.26,3.15,0.2783405689468115,0.16610833567476394,0.012383799232371429,1.0,1.0,1.0,1.0,1.0,Business-model peer taxonomy; descriptive only and never a composite score
1303,南亞,塑膠工業,PETROCHEMICAL,CYCLICAL,WEAK,UNKNOWN,HIGH,35.65,3.67,0.12862034520002527,0.034086138254834586,0.05660392738725695,1.0,1.0,0.5,0.5,1.0,Business-model peer taxonomy; descriptive only and never a composite score
2059,川湖,電子零組件業,INDUSTRIAL_COMPONENTS,GENERAL,GOOD,STABLE,HIGH,74.15,37.97,0.6284333314276527,4.463838185477115,0.847162289888451,1.0,1.0,1.0,1.0,1.0,Business-model peer taxonomy; descriptive only and never a composite score
2301,光寶科,電腦及週邊設備業,POWER_ELECTRONICS,GENERAL,GOOD,STABLE,HIGH,34.97,7.08,0.22005584156127345,0.4029870340781543,0.22017733818073348,0.5,0.5,0.5,0.5,0.5,Business-model peer taxonomy; descriptive only and never a composite score
2303,聯電,電子工業,SEMICONDUCTOR_FOUNDRY,GENERAL,ACCEPTABLE,UNKNOWN,HIGH,18.8,3.53,0.21333300771513788,0.1401357224885949,0.05566323617057756,0.5,0.5,0.5,0.5,0.5,Business-model peer taxonomy; descriptive only and never a composite score
2308,台達電,電子零組件業,POWER_ELECTRONICS,GENERAL,GOOD,IMPROVING,HIGH,56.02,15.57,0.3619739767922975,0.5508375558588439,0.39453572242072643,1.0,1.0,1.0,1.0,1.0,Business-model peer taxonomy; descriptive only and never a composite score
2317,鴻海,電子工業,ELECTRONICS_MANUFACTURING,GENERAL,WEAK,IMPROVING,HIGH,16.32,1.82,0.1464682935467623,0.13681025918887585,0.25433502624493665,1.0,1.0,1.0,1.0,1.0,Business-model peer taxonomy; descriptive only and never a composite score
2327,國巨*,電子工業,PASSIVE_COMPONENTS,GENERAL,ACCEPTABLE,IMPROVING,HIGH,34.41,5.94,0.18967327682165533,0.1867964591519039,0.20743288803455462,1.0,1.0,1.0,1.0,1.0,Business-model peer taxonomy; descriptive only and never a composite score
2330,台積電,電子工業,SEMICONDUCTOR_FOUNDRY,GENERAL,GOOD,STABLE,HIGH,27.7,9.64,0.40618044671440906,0.5751301546797054,0.30556683675749596,1.0,1.0,1.0,1.0,1.0,Business-model peer taxonomy; descriptive only and never a composite score
2344,華邦電,電子工業,MEMORY,CYCLICAL,WEAK,IMPROVING,HIGH,18.63,4.61,0.3175014809988861,0.3071381625626426,0.8082072645107929,1.0,0.5,0.5,0.5,0.5,Business-model peer taxonomy; descriptive only and never a composite score
2345,智邦,電子工業,NETWORKING,GENERAL,ACCEPTABLE,STABLE,HIGH,32.84,16.92,0.6569858172114779,1.0968483459260643,0.8216207903963124,1.0,1.0,1.0,1.0,1.0,Business-model peer taxonomy; descriptive only and never a composite score
2357,華碩,電腦及週邊設備業,COMPUTER_HARDWARE,GENERAL,WEAK,IMPROVING,NORMAL,14.2,2.39,0.20383635760359142,0.1774598404338669,0.32479346689379707,0.5,0.25,0.25,0.25,0.25,Business-model peer taxonomy; descriptive only and never a composite score
2360,致茂,電子工業,TEST_MEASUREMENT,GENERAL,GOOD,IMPROVING,HIGH,51.4,25.87,0.5948406636287721,0.5074594570781743,0.6157440505903145,1.0,1.0,1.0,1.0,1.0,Business-model peer taxonomy; descriptive only and never a composite score
2368,金像電,電子工業,PCB,GENERAL,ACCEPTABLE,IMPROVING,HIGH,39.48,13.5,0.45950124949281507,0.5643070459429149,0.6803488029407927,0.3333333333333333,1.0,1.0,1.0,1.0,Business-model peer taxonomy; descriptive only and never a composite score
2382,廣達,電腦及週邊設備業,COMPUTER_HARDWARE,GENERAL,WEAK,STABLE,NORMAL,14.6,5.3,0.4129862419646198,0.2706199443145301,0.6267846757240427,0.75,1.0,0.5,0.75,0.5,Business-model peer taxonomy; descriptive only and never a composite score
2383,台光電,電子零組件業,PCB_MATERIALS,GENERAL,WEAK,STABLE,HIGH,82.72,32.49,0.48363252019267616,0.47638697546801945,0.625862931024187,1.0,1.0,1.0,1.0,1.0,Business-model peer taxonomy; descriptive only and never a composite score
2395,研華,電腦及週邊設備業,INDUSTRIAL_COMPUTING,GENERAL,ACCEPTABLE,STABLE,HIGH,42.69,10.59,0.26504099751915455,0.3055692905629951,0.23711812119201325,1.0,1.0,1.0,1.0,1.0,Business-model peer taxonomy; descriptive only and never a composite score
2408,南亞科,電子工業,MEMORY,CYCLICAL,UNKNOWN,UNKNOWN,HIGH,18.53,5.11,0.3725926350260541,0.6612080733864425,4.567517251783149,0.5,1.0,1.0,1.0,1.0,Business-model peer taxonomy; descriptive only and never a composite score
2412,中華電,電子工業,TELECOM,GENERAL,GOOD,IMPROVING,HIGH,27.11,2.92,0.11342385090548787,0.1145490759685497,0.0491742283576746,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,Business-model peer taxonomy; descriptive only and never a composite score
2449,京元電子,電子工業,SEMICONDUCTOR_TEST,GENERAL,WEAK,UNKNOWN,HIGH,34.21,5.09,0.17502291190150368,0.13462772178946705,0.3524046033894095,1.0,1.0,1.0,1.0,1.0,Business-model peer taxonomy; descriptive only and never a composite score
2454,聯發科,電子工業,IC_DESIGN,GENERAL,ACCEPTABLE,DETERIORATING,HIGH,71.68,16.33,0.24358706699374474,0.3476416921916123,0.035011784915323085,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,Business-model peer taxonomy; descriptive only and never a composite score
2603,長榮,航運業,SHIPPING,CYCLICAL,ACCEPTABLE,UNKNOWN,LOW,9.48,0.92,0.10575556573554339,0.12439448938043925,-0.19517826905662528,1.0,1.0,1.0,1.0,1.0,Business-model peer taxonomy; descriptive only and never a composite score
2880,華南金,金融保險,BANK_HOLDING,FINANCIAL,UNKNOWN,UNKNOWN,HIGH,18.81,2.5,0.19823958467321828,,0.17766474105805652,0.8571428571428571,1.0,0.5714285714285714,,0.5714285714285714,Business-model peer taxonomy; descriptive only and never a composite score
2881,富邦金,金融保險,INSURANCE_HEAVY_FINANCIAL_HOLDING,FINANCIAL,UNKNOWN,UNKNOWN,HIGH,13.74,1.81,0.5727580251061587,,0.5407976056849992,0.6666666666666666,1.0,0.6666666666666666,,0.6666666666666666,Business-model peer taxonomy; descriptive only and never a composite score
2882,國泰金,金融保險,INSURANCE_HEAVY_FINANCIAL_HOLDING,FINANCIAL,UNKNOWN,UNKNOWN,HIGH,13.27,1.62,0.7088370340386736,,0.2660854760927387,0.3333333333333333,0.6666666666666666,1.0,,0.3333333333333333,Business-model peer taxonomy; descriptive only and never a composite score
2883,凱基金,金融保險,DIVERSIFIED_FINANCIAL_HOLDING,FINANCIAL,UNKNOWN,UNKNOWN,HIGH,12.55,1.42,0.5339495220295242,,0.37191761199852214,0.5,0.5,1.0,,0.5,Business-model peer taxonomy; descriptive only and never a composite score
2884,玉山金,金融保險,BANK_HOLDING,FINANCIAL,UNKNOWN,UNKNOWN,HIGH,17.93,2.48,0.20962996901450742,,0.23218158738598227,0.7142857142857143,0.8571428571428571,0.7142857142857143,,0.8571428571428571,Business-model peer taxonomy; descriptive only and never a composite score
2885,元大金,金融保險,DIVERSIFIED_FINANCIAL_HOLDING,FINANCIAL,UNKNOWN,UNKNOWN,HIGH,16.04,2.38,0.271311580180276,,0.5002030850414154,1.0,1.0,0.5,,1.0,Business-model peer taxonomy; descriptive only and never a composite score
2886,兆豐金,金融保險,BANK_HOLDING,FINANCIAL,UNKNOWN,UNKNOWN,HIGH,19.61,1.86,0.17433458551834932,,0.11778321015428017,1.0,0.42857142857142855,0.2857142857142857,,0.2857142857142857,Business-model peer taxonomy; descriptive only and never a composite score
2887,台新新光金,金融保險,INSURANCE_HEAVY_FINANCIAL_HOLDING,FINANCIAL,UNKNOWN,UNKNOWN,HIGH,15.35,1.53,0.5247146832901305,,1.2949809124122948,1.0,0.3333333333333333,0.3333333333333333,,1.0,Business-model peer taxonomy; descriptive only and never a composite score
2890,永豐金,金融保險,BANK_HOLDING,FINANCIAL,UNKNOWN,UNKNOWN,HIGH,16.08,2.33,0.17114424188097815,,0.4030512078036663,0.14285714285714285,0.7142857142857143,0.14285714285714285,,1.0,Business-model peer taxonomy; descriptive only and never a composite score
2891,中信金,金融保險,BANK_HOLDING,FINANCIAL,UNKNOWN,UNKNOWN,HIGH,16.15,1.93,0.5392681781939143,,0.22194751191387274,0.2857142857142857,0.5714285714285714,1.0,,0.7142857142857143,Business-model peer taxonomy; descriptive only and never a composite score
2892,第一金,金融保險,BANK_HOLDING,FINANCIAL,UNKNOWN,UNKNOWN,HIGH,17.22,1.76,0.2158270959458938,,0.13113007636659924,0.42857142857142855,0.2857142857142857,0.8571428571428571,,0.42857142857142855,Business-model peer taxonomy; descriptive only and never a composite score
3008,大立光,電子工業,OPTICS,GENERAL,GOOD,UNKNOWN,NORMAL,38.03,4.88,0.13468142487443674,0.2798270099653964,0.010942694264808983,1.0,1.0,1.0,1.0,1.0,Business-model peer taxonomy; descriptive only and never a composite score
3017,奇鋐,電腦及週邊設備業,THERMAL_MANAGEMENT,GENERAL,GOOD,STABLE,HIGH,43.99,23.48,0.7571800939418664,4.877804662615454,0.9900791004257623,0.5,0.5,1.0,1.0,1.0,Business-model peer taxonomy; descriptive only and never a composite score
