symbol,source,price_policy,raw_policy,trading_date_policy,rows_received,first_date,last_date_before_as_of_clip,cache_sha256,mops_network_request
0050,Yahoo Finance chart API via existing return-source adapter,ADJUSTED_CLOSE,Raw close retained in local ignored cache; not used for Stage B returns,EXACT_COMMON_TWSE_DATE,2595,2016-01-04,2026-09-04,b09bf882fed1b6904cdd4b9eb323a6cbe2441dc74ee02f879e4d2426d516c722,False
1216,Yahoo Finance chart API via existing return-source adapter,ADJUSTED_CLOSE,Raw close retained in local ignored cache; not used for Stage B returns,EXACT_COMMON_TWSE_DATE,2594,2016-01-04,2026-09-04,4fbd571e3e77f80bbe1637e57e91d7f5a6609c50a443c4852114f83a166f7234,False
1303,Yahoo Finance chart API via existing return-source adapter,ADJUSTED_CLOSE,Raw close retained in local ignored cache; not used for Stage B returns,EXACT_COMMON_TWSE_DATE,2594,2016-01-04,2026-09-04,ee7eadedebd26f345ce5548fbf17bd3abca7caadf849805840be8939e58da05b,False
2059,Yahoo Finance chart API via existing return-source adapter,ADJUSTED_CLOSE,Raw close retained in local ignored cache; not used for Stage B returns,EXACT_COMMON_TWSE_DATE,2594,2016-01-04,2026-09-04,b4988eca12f05f5152fb28428899414604b87c30727e66baa1629065c6df34c9,False
2301,Yahoo Finance chart API via existing return-source adapter,ADJUSTED_CLOSE,Raw close retained in local ignored cache; not used for Stage B returns,EXACT_COMMON_TWSE_DATE,2594,2016-01-04,2026-09-04,a74411be00491fa4c752bd52cce24fad3d3c53fb034f036ecd46cddde112498b,False
2303,Yahoo Finance chart API via existing return-source adapter,ADJUSTED_CLOSE,Raw close retained in local ignored cache; not used for Stage B returns,EXACT_COMMON_TWSE_DATE,2594,2016-01-04,2026-09-04,f55c9e4716a5f968eae329fe831fd7de14ae73758aef8a9a83a884e9f554bc5a,False
2308,Yahoo Finance chart API via existing return-source adapter,ADJUSTED_CLOSE,Raw close retained in local ignored cache; not used for Stage B returns,EXACT_COMMON_TWSE_DATE,2594,2016-01-04,2026-09-04,f9bb5ec3ea2c893bac5a24ce768293eefc64109f3c9191fed28b062b6390e142,False
2317,Yahoo Finance chart API via existing return-source adapter,ADJUSTED_CLOSE,Raw close retained in local ignored cache; not used for Stage B returns,EXACT_COMMON_TWSE_DATE,2594,2016-01-04,2026-09-04,e89acb9a63bc47e0ab3d975fac5c798ba2944c006e47b7dbbed6131fa2764fba,False
2327,Yahoo Finance chart API via existing return-source adapter,ADJUSTED_CLOSE,Raw close retained in local ignored cache; not used for Stage B returns,EXACT_COMMON_TWSE_DATE,2594,2016-01-04,2026-09-04,5946476b5de3b2acd345808d32f944c43dbacd5bf28735fa12b00371c89514a2,False
2330,Yahoo Finance chart API via existing return-source adapter,ADJUSTED_CLOSE,Raw close retained in local ignored cache; not used for Stage B returns,EXACT_COMMON_TWSE_DATE,2594,2016-01-04,2026-09-04,a5dbaf0ff6dbce8b5e9dbfc72d63ba8fb3391eae36a4da31ed4f65fb3dc91fda,False
