quality,horizon,n_events,median_roe,n_roe,median_roic,n_roic,median_eps_growth,n_eps_growth,median_fcf_positive,n_fcf_positive,median_margin_change,n_margin_change
ACCEPTABLE,1Y,672,0.151242398641232,584,0.19265408244394844,351,0.07256362173390496,574,0.0,587,0.002781136927266184,352
ACCEPTABLE,3Y,672,0.15841335544291024,421,0.19722751031056704,255,0.2222222222222221,407,1.0,426,0.010620235899471878,258
ACCEPTABLE,5Y,672,0.16087253022584552,249,0.21275063391300486,144,0.40178571428571397,233,0.0,253,0.012514846211445496,146
GOOD,1Y,367,0.23958004115566137,296,0.3134110548174389,259,0.1594198481778829,290,1.0,298,0.009238846408910012,261
GOOD,3Y,367,0.24951409179104644,152,0.3617175284498829,134,0.6192954101811401,154,1.0,154,0.019702976132751182,136
GOOD,5Y,367,0.25193324273255574,63,0.40455381858254047,52,2.024300441826215,61,1.0,65,0.04086102875946075,54
UNKNOWN,1Y,11,0.11483506065619455,11,0.34185290416514136,2,0.10062893081761026,11,0.0,11,0.01459833290594148,2
UNKNOWN,3Y,11,0.10310374221478626,11,0.26002936717624214,2,0.4756756756756759,11,0.0,11,0.04043767611254473,2
UNKNOWN,5Y,11,0.14770639660959123,11,0.2722419643490397,2,0.2440944881889764,11,0.0,11,0.02233290045297784,2
WEAK,1Y,432,0.15542869112872226,386,0.12573093020802156,343,0.27217832382825213,372,1.0,394,0.008710951074838325,351
WEAK,3Y,432,0.1775953883347331,310,0.16735753657118532,277,0.6094276094276094,305,1.0,315,0.011908279061708115,282
WEAK,5Y,432,0.17616853382916908,187,0.14424689339714525,182,1.6898288016112788,190,1.0,193,0.022250568515817637,188
