sector_scope,dimension,bucket,horizon,observations,unique_issuers,support_status,support_min_observations,support_min_issuers,uncertainty_contract,mean_return,median_return,positive_return_rate,mean_excess_return,median_excess_return,outperform_0050_rate,standard_deviation,p25_return,p75_return,issuer_cluster_mean_return_se,issuer_cluster_mean_return_ci95_low,issuer_cluster_mean_return_ci95_high,time_cluster_mean_return_se,time_cluster_mean_return_ci95_low,time_cluster_mean_return_ci95_high,issuer_cluster_mean_excess_se,issuer_cluster_mean_excess_ci95_low,issuer_cluster_mean_excess_ci95_high,time_cluster_mean_excess_se,time_cluster_mean_excess_ci95_low,time_cluster_mean_excess_ci95_high,issuer_cluster_median_return_ci95_low,issuer_cluster_median_return_ci95_high,time_cluster_median_return_ci95_low,time_cluster_median_return_ci95_high,issuer_cluster_median_excess_ci95_low,issuer_cluster_median_excess_ci95_high,time_cluster_median_excess_ci95_low,time_cluster_median_excess_ci95_high,median_return_lift_vs_all,median_excess_return_lift_vs_all,outperform_rate_lift_vs_all
ALL_NON_FINANCIAL,VALUATION,LOW,60d,253,35,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.10297063657412553,0.06763292652336195,0.691699604743083,0.0443684044110561,0.027975696393689242,0.5731225296442688,0.20283352245991304,-0.021089766289614564,0.17711605879263903,0.01368365996388024,0.07615066304492026,0.1297906101033308,0.025567159488586486,0.05285900397649602,0.15308226917175505,0.013740241659928716,0.017437530757595816,0.07129927806451639,0.020925541635574998,0.0033543428053291052,0.08538246601678309,0.047811415237350566,0.08372095242350963,0.0328348263652707,0.09358292383980871,0.0005986006923970906,0.04122330802527123,-0.007110617977047979,0.06194486403704414,0.014731224005818055,0.0239065610674305,0.061804287300726846
ALL_NON_FINANCIAL,VALUATION,LOW,120d,251,35,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.19353838106680132,0.09905816399275791,0.7370517928286853,0.09109296833373644,0.027160092975119676,0.5657370517928287,0.35561164903159737,-0.006172369940044664,0.28513859771334127,0.026960789181242797,0.14069523427156544,0.2463815278620372,0.04031516101145045,0.11452066548435845,0.2725560966492442,0.028615755787865963,0.03500608698951915,0.14717984967795372,0.037939003837390135,0.016732520812451773,0.1654534158550211,0.06695627842666174,0.14171189604084505,0.06026914550696434,0.1430959202489397,0.0011939041265678352,0.05388756456848819,-0.00024776703120746204,0.049022891408936786,0.02062693887314304,0.02735653808740901,0.06745290628836753
ALL_NON_FINANCIAL,VALUATION,LOW,252d,248,35,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.5585557641307122,0.2864235067932156,0.8508064516129032,0.2929920601809783,0.12370989033137725,0.6129032258064516,0.8244703318494512,0.10294490062282757,0.7596715195958648,0.0754298310611578,0.4107132952508429,0.7063982330105815,0.07730183548196393,0.4070441665860629,0.7100673616753614,0.07415504910275142,0.14764816393958552,0.43833595642237105,0.07219878375795719,0.15148244401538222,0.43450167634657433,0.2195408304179871,0.40704651768456873,0.20900945297056905,0.41548507085073777,0.04019162513391028,0.21542728236842046,0.03580510428262773,0.1939448002940037,0.10393367869870518,0.11064493105458406,0.0977953121373869
ALL_NON_FINANCIAL,VALUATION,LOW,504d,236,34,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,1.0075735834315425,0.609434734860958,0.923728813559322,0.47387853240465616,0.24326468617144859,0.6271186440677966,1.234689857151608,0.22487967269027348,1.3123373009238468,0.11199023605063245,0.7880727207723028,1.227074446090782,0.10635651355304036,0.7991148168675833,1.2160323499955017,0.10591722430704953,0.2662807727628391,0.6814762920464732,0.07248395928037728,0.3318099722151167,0.6159470925941957,0.4292612537977002,0.818665653160515,0.45057302011145417,0.8183628070342206,0.012290578090029649,0.4012750790028977,0.10296068913087122,0.3003585976260968,0.180084385839684,0.15844705012551563,0.07256573184466286
ALL_NON_FINANCIAL,VALUATION,NORMAL,60d,659,36,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.10317965282298501,0.05188683317244247,0.6767830045523521,0.035849313065355916,0.007064587756358431,0.5250379362670713,0.26701806958477003,-0.019546682621017886,0.1635504231004281,0.012289198947210369,0.0790928228864527,0.12726648275951732,0.02056766268672837,0.06286703395699741,0.1434922716889726,0.012107051637424808,0.012119491856003292,0.05957913427470854,0.014009620931149566,0.008390456040302766,0.06330817009040907,0.03977789722345545,0.0712400751978286,0.031296753085914515,0.06955170272457736,-0.007318248025430574,0.02432539781609666,-0.014928496232682574,0.0244357164222241,-0.0010148693451014212,0.0029954524300996876,0.013719693923529341
ALL_NON_FINANCIAL,VALUATION,NORMAL,120d,648,36,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.18770708613140474,0.07300818076466886,0.6990740740740741,0.06675562744502787,0.00047731898946129503,0.5,0.40525908706609237,-0.025345238563558664,0.2614332099202876,0.023770567062939688,0.14111677468804296,0.23429739757476653,0.03442928750910048,0.12022568261356781,0.2551884896492417,0.02451429350759596,0.01870761217013979,0.11480364271991596,0.019846636612383454,0.027856219684756302,0.10565503520529945,0.056898142820525834,0.11853725556029149,0.05115506258756586,0.11184442199426979,-0.0336011999370915,0.042016661442847617,-0.02490088398714986,0.023542701506801347,-0.005423044354946005,0.0006737641017506291,0.0017158544955387933
ALL_NON_FINANCIAL,VALUATION,NORMAL,252d,623,36,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.4517592653140254,0.16553831557185017,0.7544141252006421,0.18134757071104132,0.011334211433578822,0.5136436597110754,0.9305020053968908,0.004036641682978348,0.5559138659910411,0.05939667400868758,0.33534178425699773,0.5681767463710531,0.10676781164355316,0.24249435449266118,0.6610241761353896,0.059271329642231065,0.06517576461226844,0.2975193768098142,0.05844458623565957,0.06679618168914857,0.29589895973293406,0.11664976622871714,0.2552589170636089,0.1223148251319815,0.23182428321194792,-0.04843319412869093,0.07161875642191107,-0.037254879923669396,0.04795007501471571,-0.01695151252266025,-0.0017307478432143641,-0.0014642539579893254
ALL_NON_FINANCIAL,VALUATION,NORMAL,504d,535,35,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.9029974061932673,0.40841880062375635,0.8523364485981308,0.4143515010800244,0.08481763604593295,0.5626168224299065,1.3815251426190245,0.1070580352275744,1.1632260589159742,0.1257615867479171,0.6565046961673497,1.1494901162191848,0.11790857191385584,0.6718966052421098,1.1340982071444248,0.12681520130658838,0.16579370651911116,0.6629092956409376,0.08172516898245392,0.2541701698744147,0.574532832285634,0.24774273282870343,0.6353182346354325,0.32142154766327136,0.5484708628047025,-0.023663341052546735,0.21679322821914682,-0.004220579198530583,0.15122044693478817,-0.020931548397517652,0.0,0.008063910206772773
ALL_NON_FINANCIAL,VALUATION,HIGH,60d,419,37,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.11383813375620835,0.03212856543814113,0.5799522673031027,0.035263552241400646,-0.009746365135374191,0.4701670644391408,0.3291735842619085,-0.059281183091974665,0.18830239479033695,0.01599392882399084,0.08249003326118631,0.1451862342512304,0.03425384883790165,0.04670059003392113,0.18097567747849558,0.015475311558121683,0.0049319415874821484,0.06559516289531914,0.021003231307629357,-0.0059027811215528955,0.07642988560435418,0.007404963136072718,0.06573970282941022,-0.003776969763883491,0.073717929018837,-0.033514353967010385,0.009937831781386831,-0.03149712763642503,0.011318953115515562,-0.02077313707940276,-0.013815500461632935,-0.04115117790440115
ALL_NON_FINANCIAL,VALUATION,HIGH,120d,389,36,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.2333260581363407,0.04360903606603128,0.5912596401028277,0.0908251043214087,-0.025301345110319895,0.442159383033419,0.6677377908751895,-0.07692309606988423,0.27980868281777793,0.03505974387374472,0.16460896014380105,0.30204315612888033,0.06976322567527184,0.0965901358128079,0.3700619804598735,0.03335385057032386,0.02545155720357392,0.15619865143924347,0.04620324237197964,0.0002667492723286008,0.18138345937048878,0.01424130614871954,0.08763369460586823,0.0,0.10257949978355473,-0.05764743935055202,0.00023585511168660962,-0.059450254803939506,0.00021940434713818568,-0.034822189053583585,-0.02510489999803056,-0.0561247624710422
