source_id,source_type,publication_date,effective_date,index_scope,event_kind,title,source_url,source_authority,raw_relative_path,raw_sha256,retrieved_at,acquisition_status,verification_note
taiwanindex_technical_notice_index,OFFICIAL_RENDERED_INDEX_CAPTURE,,,FTSE_TWSE_TAIWAN_INDEX_SERIES,SOURCE_INDEX,Taiwan Index Plus technical-notice archive,https://taiwanindex.com.tw/downloads/technical_notice?count=65535&page=1&year&month&category_id,TAIWAN_INDEX_PLUS,technical_notice_index_be44775a427bc392e612dfc599f73d2c236f8da8f05e5f15e8b0e0b61b219df4.html,be44775a427bc392e612dfc599f73d2c236f8da8f05e5f15e8b0e0b61b219df4,2026-09-11T09:39:21.332Z,RAW_CAPTURED,Rendered official archive index captured with all rows visible; linked documents remain pending retrieval.
technical_notice_1295,OFFICIAL_TECHNICAL_NOTICE,2026-07-07,,FTSE_TWSE_TAIWAN_INDEX_SERIES,INTERIM_OR_EXTRAORDINARY_CANDIDATE,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：成分股納入禾伸堂,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1295/tw,TAIWAN_INDEX_PLUS,,,2026-09-11T09:39:21.332Z,DISCOVERED_NOT_RETRIEVED,Document content/effective date not normalized; cannot establish membership.
technical_notice_1294,OFFICIAL_TECHNICAL_NOTICE,2026-07-03,,FTSE_TWSE_TAIWAN_INDEX_SERIES,INTERIM_OR_EXTRAORDINARY_CANDIDATE,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：成分股納入大量,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1294/tw,TAIWAN_INDEX_PLUS,,,2026-09-11T09:39:21.332Z,DISCOVERED_NOT_RETRIEVED,Document content/effective date not normalized; cannot establish membership.
technical_notice_1283,OFFICIAL_TECHNICAL_NOTICE,2026-06-30,,FTSE_TWSE_TAIWAN_INDEX_SERIES,INTERIM_OR_EXTRAORDINARY_CANDIDATE,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：成分股刪除來億-KY,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1283/tw,TAIWAN_INDEX_PLUS,,,2026-09-11T09:39:21.332Z,DISCOVERED_NOT_RETRIEVED,Document content/effective date not normalized; cannot establish membership.
technical_notice_1281,OFFICIAL_TECHNICAL_NOTICE,2026-06-25,,FTSE_TWSE_TAIWAN_INDEX_SERIES,INTERIM_OR_EXTRAORDINARY_CANDIDATE,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：成分股刪除富邦媒,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1281/tw,TAIWAN_INDEX_PLUS,,,2026-09-11T09:39:21.332Z,DISCOVERED_NOT_RETRIEVED,Document content/effective date not normalized; cannot establish membership.
technical_notice_1276,OFFICIAL_TECHNICAL_NOTICE,2026-06-18,,FTSE_TWSE_TAIWAN_INDEX_SERIES,INTERIM_OR_EXTRAORDINARY_CANDIDATE,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：禾伸堂延期納入成分股,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1276/tw,TAIWAN_INDEX_PLUS,,,2026-09-11T09:39:21.332Z,DISCOVERED_NOT_RETRIEVED,Document content/effective date not normalized; cannot establish membership.
technical_notice_1275,OFFICIAL_TECHNICAL_NOTICE,2026-06-18,,FTSE_TWSE_TAIWAN_INDEX_SERIES,INTERIM_OR_EXTRAORDINARY_CANDIDATE,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：大量延期納入成分股,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1275/tw,TAIWAN_INDEX_PLUS,,,2026-09-11T09:39:21.332Z,DISCOVERED_NOT_RETRIEVED,Document content/effective date not normalized; cannot establish membership.
technical_notice_1270,OFFICIAL_TECHNICAL_NOTICE,2026-06-15,,FTSE_TWSE_TAIWAN_INDEX_SERIES,INTERIM_OR_EXTRAORDINARY_CANDIDATE,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：延期刪除來億-KY及富邦媒,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1270/tw,TAIWAN_INDEX_PLUS,,,2026-09-11T09:39:21.332Z,DISCOVERED_NOT_RETRIEVED,Document content/effective date not normalized; cannot establish membership.
technical_notice_1262,OFFICIAL_TECHNICAL_NOTICE,2026-06-05,,FTSE_TWSE_TAIWAN_INDEX_SERIES,REGULAR_REVIEW,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股定期審核結果,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1262/tw,TAIWAN_INDEX_PLUS,,,2026-09-11T09:39:21.332Z,DISCOVERED_NOT_RETRIEVED,Document content/effective date not normalized; cannot establish membership.
technical_notice_1217,OFFICIAL_TECHNICAL_NOTICE,2026-04-09,,FTSE_TWSE_TAIWAN_INDEX_SERIES,INTERIM_OR_EXTRAORDINARY_CANDIDATE,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：旺宏納入成分股,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1217/tw,TAIWAN_INDEX_PLUS,,,2026-09-11T09:39:21.332Z,DISCOVERED_NOT_RETRIEVED,Document content/effective date not normalized; cannot establish membership.
technical_notice_1215,OFFICIAL_TECHNICAL_NOTICE,2026-04-02,,FTSE_TWSE_TAIWAN_INDEX_SERIES,INTERIM_OR_EXTRAORDINARY_CANDIDATE,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：欣興納入刪除成分股,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1215/tw,TAIWAN_INDEX_PLUS,,,2026-09-11T09:39:21.332Z,DISCOVERED_NOT_RETRIEVED,Document content/effective date not normalized; cannot establish membership.
