symbol,company,sector_logic,peer_group,financial_subtype,universe_as_of,source_note
1216,統一,GENERAL,CONSUMER_STAPLES,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
1303,南亞,CYCLICAL,PETROCHEMICAL,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2059,川湖,GENERAL,INDUSTRIAL_COMPONENTS,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2301,光寶科,GENERAL,POWER_ELECTRONICS,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2303,聯電,GENERAL,SEMICONDUCTOR_FOUNDRY,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2308,台達電,GENERAL,POWER_ELECTRONICS,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2317,鴻海,GENERAL,ELECTRONICS_MANUFACTURING,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2327,國巨,GENERAL,PASSIVE_COMPONENTS,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2330,台積電,GENERAL,SEMICONDUCTOR_FOUNDRY,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2344,華邦電,CYCLICAL,MEMORY,,2026-09-03,Added in 2026-03 review
2345,智邦,GENERAL,NETWORKING,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2357,華碩,GENERAL,COMPUTER_HARDWARE,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2360,致茂,GENERAL,TEST_MEASUREMENT,,2026-09-03,Added in 2025-12 review
2368,金像電,GENERAL,PCB,,2026-09-03,Added in 2026-03 review
2382,廣達,GENERAL,COMPUTER_HARDWARE,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2383,台光電,GENERAL,PCB_MATERIALS,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2395,研華,GENERAL,INDUSTRIAL_COMPUTING,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2408,南亞科,CYCLICAL,MEMORY,,2026-09-03,Added in 2025-12 review
2412,中華電,GENERAL,TELECOM,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2449,京元電子,GENERAL,SEMICONDUCTOR_TEST,,2026-09-03,Added in 2026-03 review
2454,聯發科,GENERAL,IC_DESIGN,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2603,長榮,CYCLICAL,SHIPPING,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2880,華南金,FINANCIAL,BANK_HOLDING,BANK_HOLDING,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2881,富邦金,FINANCIAL,INSURANCE_HEAVY_FINANCIAL_HOLDING,INSURANCE_HEAVY,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2882,國泰金,FINANCIAL,INSURANCE_HEAVY_FINANCIAL_HOLDING,INSURANCE_HEAVY,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2883,凱基金,FINANCIAL,DIVERSIFIED_FINANCIAL_HOLDING,BANK_HOLDING,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2884,玉山金,FINANCIAL,BANK_HOLDING,BANK_HOLDING,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2885,元大金,FINANCIAL,DIVERSIFIED_FINANCIAL_HOLDING,BANK_HOLDING,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2886,兆豐金,FINANCIAL,BANK_HOLDING,BANK_HOLDING,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2887,台新新光金,FINANCIAL,INSURANCE_HEAVY_FINANCIAL_HOLDING,INSURANCE_HEAVY,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2890,永豐金,FINANCIAL,BANK_HOLDING,BANK_HOLDING,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2891,中信金,FINANCIAL,BANK_HOLDING,BANK_HOLDING,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
2892,第一金,FINANCIAL,BANK_HOLDING,BANK_HOLDING,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
3008,大立光,GENERAL,OPTICS,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
3017,奇鋐,GENERAL,THERMAL_MANAGEMENT,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
3037,欣興,GENERAL,PCB,,2026-09-03,Added in 2026-03 review
3045,台灣大,GENERAL,TELECOM,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
